source_url,scraped_at,title,rank,points,author,comments_count,article_url
https://news.ycombinator.com/,2026-07-08T10:10:42+00:00,"StreetComplete: Fixing OpenStreetMap, one tiny quest at a time",1,651,kls0e,158,https://streetcomplete.app/
https://news.ycombinator.com/,2026-07-08T10:10:42+00:00,Chat Control passed first round in EU Parliament,2,513,miroljub,224,https://www.heise.de/
https://news.ycombinator.com/,2026-07-08T10:10:42+00:00,Microsoft fire idTech team at Id software,3,312,nickslaughter02,385,https://www.gamefromscratch.com/
https://news.ycombinator.com/,2026-07-08T10:10:42+00:00,The Art of Computer Programming by Donald E. Knuth,4,199,archargelod,52,https://www-cs-faculty.stanford.edu/~knuth/taocp.html
https://news.ycombinator.com/,2026-07-08T10:10:42+00:00,YC CEO says he ships 37K LoC AI code per day,5,105,theanonymousone,97,https://www.fastcompany.com/
